Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::医疗健康创新工程,L2::生物医学工程,Undirected,培养项目-二级学科,5,overall,医疗健康创新工程,,生物医学工程
P::医疗健康创新工程,L2::电子信息（生仪学院）,Undirected,培养项目-二级学科,1,overall,医疗健康创新工程,,电子信息（生仪学院）
P::半导体,L2::光电信息工程,Undirected,培养项目-二级学科,1,overall,半导体,,光电信息工程
P::半导体,L2::控制工程,Undirected,培养项目-二级学科,1,overall,半导体,,控制工程
P::半导体,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,4,overall,半导体,,新一代电子信息技术（含量子技术等）
P::半导体,L2::机械工程,Undirected,培养项目-二级学科,1,overall,半导体,,机械工程
P::半导体,L2::材料工程,Undirected,培养项目-二级学科,3,overall,半导体,,材料工程
P::半导体,L2::生物医学工程,Undirected,培养项目-二级学科,1,overall,半导体,,生物医学工程
P::半导体,L2::电气工程,Undirected,培养项目-二级学科,4,overall,半导体,,电气工程
P::半导体,L2::集成电路工程,Undirected,培养项目-二级学科,16,overall,半导体,,集成电路工程
P::华为联培,L2::电子信息（光电学院）,Undirected,培养项目-二级学科,30,overall,华为联培,,电子信息（光电学院）
P::卓越风景园林师,L2::风景园林,Undirected,培养项目-二级学科,47,overall,卓越风景园林师,,风景园林
P::南昌研究院,L2::计算机技术,Undirected,培养项目-二级学科,30,overall,南昌研究院,,计算机技术
P::博物馆理论与科普实践,L2::博物馆,Undirected,培养项目-二级学科,45,overall,博物馆理论与科普实践,,博物馆
P::口腔医学专项,L2::口腔医学,Undirected,培养项目-二级学科,219,overall,口腔医学专项,,口腔医学
P::可再生能源基地送出及消纳,L2::动力工程,Undirected,培养项目-二级学科,8,overall,可再生能源基地送出及消纳,,动力工程
P::可再生能源基地送出及消纳,L2::电气工程,Undirected,培养项目-二级学科,33,overall,可再生能源基地送出及消纳,,电气工程
P::可再生能源高效利用,L2::能源动力（能源学院),Undirected,培养项目-二级学科,32,overall,可再生能源高效利用,,能源动力（能源学院)
P::可再生能源高效利用,L2::能源动力（能源学院）,Undirected,培养项目-二级学科,55,overall,可再生能源高效利用,,能源动力（能源学院）
P::可持续智慧城市,L2::交通运输,Undirected,培养项目-二级学科,24,overall,可持续智慧城市,,交通运输
P::国际中文教育及中华文化传播,L2::国际中文教育,Undirected,培养项目-二级学科,17,overall,国际中文教育及中华文化传播,,国际中文教育
P::国际传播,L2::新闻与传播,Undirected,培养项目-二级学科,88,overall,国际传播,,新闻与传播
P::国际化智能产品设计与创新创业,L2::工业设计工程,Undirected,培养项目-二级学科,103,overall,国际化智能产品设计与创新创业,,工业设计工程
P::国际化智能产品设计与创新创业,L2::机械（软件学院）,Undirected,培养项目-二级学科,17,overall,国际化智能产品设计与创新创业,,机械（软件学院）
P::图形基础软件,L2::人工智能,Undirected,培养项目-二级学科,3,overall,图形基础软件,,人工智能
P::图形基础软件,L2::计算机技术,Undirected,培养项目-二级学科,87,overall,图形基础软件,,计算机技术
P::土木工程数字孪生与工业软件,L2::交通运输,Undirected,培养项目-二级学科,1,overall,土木工程数字孪生与工业软件,,交通运输
P::土木工程数字孪生与工业软件,L2::土木工程,Undirected,培养项目-二级学科,26,overall,土木工程数字孪生与工业软件,,土木工程
P::土木工程数字孪生与工业软件,L2::土木水利（建工学院）,Undirected,培养项目-二级学科,6,overall,土木工程数字孪生与工业软件,,土木水利（建工学院）
P::土木工程数字孪生与工业软件,L2::市政工程（含给排水等）,Undirected,培养项目-二级学科,3,overall,土木工程数字孪生与工业软件,,市政工程（含给排水等）
P::土木工程数字孪生与工业软件,L2::水利工程,Undirected,培养项目-二级学科,3,overall,土木工程数字孪生与工业软件,,水利工程
