Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
2023090,创新管理研究（英）,,管理学院,专业选修课,学术学位,是,全外文,13,1176,14,0.141138,0.148579,0,57
2023091,信息系统研究（英）,,管理学院,专业选修课,学术学位,是,全外文,6,119,14,0.141087,0.147608,0,57
2023093,家族企业管理专题研究（英）,,管理学院,专业选修课,,是,全外文,8,372,14,0.141096,0.147841,0,57
2023095,数据挖掘（英）,,管理学院,专业选修课,学术学位,是,全外文,15,765,13,0.164055,0.173626,0.000474,57
2023096,中级计量经济学（英）,,管理学院,专业选修课,学术学位,是,全外文,15,1326,13,0.164055,0.173626,0.000849,57
2023102,技术与创新战略(英),,管理学院,专业选修课,学术学位,是,全外文,9,502,13,0.163842,0.171975,0.000094,57
2041201,财务会计理论与实务,,管理学院,专业学位课,专业学位,否,中文,9,1809,13,0.147446,0.1546,0,58
2041202,审计理论与实务,,管理学院,专业学位课,专业学位,是,中文,8,1604,13,0.14738,0.154231,0,58
2041203,管理会计理论和实务,,管理学院,专业学位课,专业学位,是,中文,8,1608,13,0.14738,0.154231,0,58
2041204,财务管理理论与实务,,管理学院,专业学位课,专业学位,是,中文,9,1815,13,0.147446,0.1546,0,58
2041206,计量经济学,,管理学院,专业学位课,专业学位,否,中文,8,1230,13,0.14738,0.154231,0,58
2043206,社会实践,,管理学院,专业选修课,,是,中文,9,1693,12,0.172807,0.184056,0.000797,58
2043209,中国税制与企业税务筹划,,管理学院,专业选修课,专业学位,否,中文,9,1227,12,0.172807,0.184056,0.000797,58
209510,生命伦理和生命法专题,,马克思主义学院,公共选修课,,是,中文,3,0,0,0,0,0,59
2102001,信息安全前沿技术和研究方法论,,计算机科学与技术学院,专业学位课,通用课程,是,双语,15,1038,11,0.234933,0.256789,0.000033,4
2102002,高级网络与系统安全,,计算机科学与技术学院,专业学位课,学术学位,是,全外文,6,241,12,0.207183,0.223544,0,4
2102003,计算机科学与技术研究方法,,计算机科学与技术学院,专业学位课,通用课程,是,中文,56,20940,11,0.258554,0.291872,0.004352,4
2102004,创新设计,,计算机科学与技术学院,专业学位课,通用课程,否,中文,24,2308,11,0.240004,0.262516,0.001361,93
2102005,研究生论文写作指导,,计算机科学与技术学院,专业学位课,通用课程,是,中文,64,19289,10,0.277692,0.310363,0.009652,4
2109602,科学计算可视化,,计算机科学与技术学院,公共选修课,通用课程,是,中文,28,1424,11,0.236565,0.258802,0.000331,4
2109605,网络安全实用技术,,计算机科学与技术学院,公共选修课,,是,中文,4,13,12,0.183701,0.19321,0,77
2109606,应用几何造型基础,,计算机科学与技术学院,公共选修课,通用课程,是,中文,7,201,11,0.225207,0.239937,0,4
211063,证券法,,光华法学院,专业学位课,学术学位,是,中文,3,33,12,0.177539,0.189939,0,62
211076,新行政法学专题,,光华法学院,专业学位课,学术学位,是,中文,6,73,12,0.17759,0.190347,0.000003,62
211089,商法专题,,光华法学院,专业学位课,专业学位,是,中文,7,95,12,0.17759,0.190444,0.00038,62
2111001,计算机应用数学(上),,计算机科学与技术学院,专业学位课,,是,中文,34,9646,11,0.236513,0.261468,0.00006,4
2111002,计算机应用数学(下),,计算机科学与技术学院,专业学位课,通用课程,是,中文,26,8639,11,0.235824,0.260182,0.000052,4
2111005,数字化艺术与设计,,计算机科学与技术学院,专业学位课,学术学位,是,中文,11,447,11,0.218189,0.233907,0.00014,93
211121,中国宪法原理,,光华法学院,专业学位课,学术学位,是,中文,8,203,11,0.211127,0.226784,0.000028,62
211123,研究生论文写作指导,,光华法学院,专业学位课,学术学位,是,中文,82,19715,11,0.215332,0.239903,0.011452,62
2112001,计算机科学与技术前沿,,计算机科学与技术学院,专业学位课,学术学位,是,中文,22,5611,11,0.246908,0.274656,0.00144,4
2112002,计算机前沿技术与研究方法概论,,计算机科学与技术学院,专业学位课,,是,中文,12,2167,11,0.225491,0.240908,0,4
2112007,创新设计技术导论,,计算机科学与技术学院,专业学位课,,是,中文,9,308,13,0.16338,0.171862,0.000013,93
2114001,计算机专业外语,,计算机科学与技术学院,专业选修课,,是,中文,25,5831,11,0.226814,0.244247,0.001958,4
2114002,计算美学,,计算机科学与技术学院,专业选修课,通用课程,否,中文,3,21,12,0.19356,0.204534,0,93
2122001,计算理论,,计算机科学与技术学院,专业学位课,学术学位,是,中文,35,12126,11,0.228079,0.24698,0.000022,4
2122002,高级操作系统,,计算机科学与技术学院,专业学位课,通用课程,是,中文,53,16213,11,0.239844,0.264919,0.001851,4
2122003,高级计算机系统结构,,计算机科学与技术学院,专业学位课,通用课程,是,中文,44,14623,11,0.23663,0.262517,0.000271,4
2122008,设计文化学,,计算机科学与技术学院,专业学位课,,是,中文,8,264,13,0.162705,0.170467,0,93
2122009,设计信息学,,计算机科学与技术学院,专业学位课,通用课程,是,中文,18,1142,12,0.194191,0.207209,0.002591,93
2122010,图形创意,,计算机科学与技术学院,专业学位课,,是,中文,8,265,13,0.162705,0.170467,0,93
2122011,设计系统学,,计算机科学与技术学院,专业学位课,,是,中文,7,217,13,0.162693,0.170312,0,93
2122018,高级计算机网络,,计算机科学与技术学院,专业学位课,通用课程,是,中文,45,12426,11,0.247022,0.27604,0.000484,4
2122020,计算机图形学,,计算机科学与技术学院,专业学位课,学术学位,是,中文,36,7538,11,0.247235,0.276573,0.000295,4
2122022,高级数据库技术,,计算机科学与技术学院,专业学位课,通用课程,是,双语,47,20817,11,0.254265,0.286341,0.001166,4
2122025,凸优化引论,,计算机科学与技术学院,专业学位课,通用课程,是,双语,18,2394,11,0.236123,0.25929,0.000001,4
2122026,人工智能引论,,计算机科学与技术学院,专业学位课,通用课程,否,双语,39,9566,11,0.245763,0.272281,0.000365,4
2123001,设计思维,,计算机科学与技术学院,专业选修课,通用课程,是,中文,15,894,11,0.240031,0.262011,0.000505,93
2123002,情感计算与设计,,计算机科学与技术学院,专业选修课,通用课程,否,中文,13,638,11,0.238233,0.260519,0.000464,93
2123003,人类工效学,,计算机科学与技术学院,专业选修课,学术学位,否,中文,11,618,11,0.217724,0.233305,0.000095,93
2124001,计算机图形学与CAD方法,,计算机科学与技术学院,专业学位课,,是,中文,8,137,12,0.185168,0.194749,0.000451,4
2124012,网格计算,,计算机科学与技术学院,专业选修课,,是,中文,12,1672,12,0.207383,0.224558,0,4
2124014,高级软件工程,,计算机科学与技术学院,专业选修课,通用课程,是,中文,36,9582,11,0.247164,0.276523,0.000341,4
2124017,非真实感图形学,,计算机科学与技术学院,专业选修课,通用课程,是,中文,14,1123,11,0.235127,0.258015,0.000007,4
2124025,电子商务技术,,计算机科学与技术学院,专业选修课,,是,中文,15,2738,11,0.226766,0.243077,0,4
2124027,计算机动画与应用,,计算机科学与技术学院,专业选修课,学术学位,是,中文,19,1534,11,0.234792,0.257714,0.000008,4
2124028,普适计算,,计算机科学与技术学院,专业选修课,通用课程,否,双语,24,4495,11,0.236305,0.260136,0.000012,4
2124029,图解思维方法,,计算机科学与技术学院,专业选修课,,是,中文,7,224,13,0.162699,0.170351,0.00038,93
2124030,设计与制造技术,,计算机科学与技术学院,专业选修课,,是,中文,7,124,13,0.162693,0.170312,0,93
