Source,Target,Type,Id,Label,timeset,Weight
1009001,409529,Undirected,163,,,43
1009001,409530,Undirected,164,,,56
1009001,609606,Undirected,166,,,124
1009001,9909302,Undirected,167,,,35
1011062,1011098,Undirected,168,,,59
1011062,1021013,Undirected,169,,,60
1011062,1021014,Undirected,170,,,203
1011062,1021046,Undirected,171,,,78
1011062,1021112,Undirected,172,,,49
1011062,1021115,Undirected,173,,,153
1011062,1021125,Undirected,174,,,80
1011062,1021157,Undirected,175,,,41
1011062,1023017,Undirected,176,,,131
1011062,1023021,Undirected,177,,,84
1011062,1023077,Undirected,178,,,130
1011062,1023101,Undirected,179,,,118
1011072,1011108,Undirected,180,,,135
1011072,1011110,Undirected,181,,,125
1011072,1021003,Undirected,183,,,297
1011072,1021004,Undirected,184,,,115
1011072,1021052,Undirected,185,,,213
1011072,1021082,Undirected,186,,,280
1011072,1021085,Undirected,187,,,103
1011072,1021109,Undirected,188,,,133
1011072,1021128,Undirected,189,,,124
1011072,1023008,Undirected,190,,,213
1011072,1023083,Undirected,191,,,180
1011072,1023084,Undirected,192,,,137
1011072,609606,Undirected,193,,,51
1011098,1012061,Undirected,194,,,157
1011098,1012116,Undirected,195,,,129
1011098,1013076,Undirected,196,,,174
1011108,1011110,Undirected,197,,,136
1011108,1011151,Undirected,198,,,51
1011108,1012116,Undirected,199,,,78
1011108,1021003,Undirected,200,,,121
1011108,1021082,Undirected,201,,,108
1011108,1021109,Undirected,202,,,59
1011108,1021128,Undirected,203,,,56
1011108,1021149,Undirected,204,,,48
1011108,1023008,Undirected,205,,,75
1011108,1023154,Undirected,206,,,26
1011108,6043907,Undirected,207,,,82
1011110,1012116,Undirected,209,,,94
1011110,1021003,Undirected,210,,,122
1011110,1021052,Undirected,211,,,76
1011110,1021082,Undirected,212,,,138
1011110,1021109,Undirected,213,,,110
1011110,1021128,Undirected,214,,,90
1011110,1023008,Undirected,215,,,78
1012061,1011071,Undirected,219,,,21
1012061,1013076,Undirected,220,,,268
1012116,1013102,Undirected,221,,,50
1013076,1011071,Undirected,225,,,22
1013076,1011091,Undirected,226,,,32
1013076,1013069,Undirected,227,,,24
1021003,1011151,Undirected,228,,,70
1021003,1021004,Undirected,229,,,119
1021003,1021052,Undirected,230,,,209
1021003,1021082,Undirected,231,,,325
1021003,1021085,Undirected,232,,,97
1021003,1021109,Undirected,233,,,119
1021003,1021128,Undirected,234,,,96
1021003,1021148,Undirected,235,,,30
1021003,1021149,Undirected,236,,,80
1021003,1021150,Undirected,237,,,33
